Attraction_Name,Attraction_Description,Attraction_Type,Entry_Type,Time_To_Spend,City_ID,Attraction_ID
Saint Louis Zoo,Lions tigers and bears oh my! The Saint Louis Zoo does house these three types of mammals but it also boards armadillos sloths swans penguins turtles gators and tarantulas along with many other kinds of creatures. And over at the Caribbean Cove you can run your hands over an assortment of stingrays (clipped of their stingers).,Zoo,Paid,2 hours to half day,stlouis,saintlouiszoo
Grant's Farm,Grants Farm was built by Civil War General Ulysses S. Grant who settled on the land in 1854 to farm and raise cattle. Eventually the namesake would gain fame for his service in the Civil War which helped the leader become president in 1869.,Parks and Gardens,Free,2 hours to half day,stlouis,grantsfarm
City Museum,Downtown Wests City Museum is hard to describe so maybe we should use its own words: an eclectic mixture of childrens playground funhouse surrealistic pavilion and architectural marvel made out of unique found objects. Attractions include Toddler Town an exhibit with tunnels and a ball pit for tots and Enchanted Caves where visitors can explore tooth-like stalactites and deep caverns,Museum,Paid,Half day to full day,stlouis,citymuseum
Saint Louis Art Museum,Whether you enjoy art or are just looking for a way to pass the time while exploring Forest Park travelers suggest checking out the Saint Louis Art Museum. Home to more than 34000 works of art the museum showcases pieces from Europe Asia and ancient Egypt. Youll find a mix of paintings sculptures photographs textiles and more displayed here.,Museum,Free,2 hours to half day,stlouis,saintlouisartmuseum
Missouri Botanical Garden,One of the more unique things about the Missouri Botanical Garden is that kids love it. And why wouldnt they? The Doris I. Schnuck Childrens Garden features a limestone cave (to explore) the Spelunkers Slide (to hurtle down) a treehouse (to climb) and a steamboat (to board) among other attractions.,Parks and Gardens,Free,1 to 2 hours,stlouis,missouribotanicalgarden
"The Magic House, St. Louis Children's Museum",If youre traveling with little ones save time for a visit to The Magic House. This childrens museum in Kirkwood a southwest suburb of St. Louis offers a variety of interactive exhibits for younger kids to enjoy including an area for budding builders a bubble room and a Jack and the Beanstalk-inspired climbing structure. On sunny days your children can also run around the Outdoor Play Garden which features a circular stream hopscotch courts a garden kaleidoscope and more.,Museum,Paid,1 to 2 hours,stlouis,themagichousest.louischildrensmuseum
Hiking Trails,The region boasts more than 100 different trails each offering its own unique experience. Most lead into the red rocks offering intrepid explorers plenty of postcard-worthy photo ops. Travelers are enthralled with many of Sedonas trails but one of the most popular is the Cathedral Rock Trail which starts about 4 miles south of the Y intersection. Though it isnt the easiest trek the trail does offer great views of one of Sedonas most notable red rock formations. For a less strenuous view of Cathedral Rock try the Airport Mesa Loop an easy path located near the Sedona Airport. Other popular hiking trails include the Bell Rock Pathway the Devils Bridge Trail Boynton Canyon and Palatki Ruins which features several ancient Native American ruins and cave paintings.,Hiking,Paid,Half day to full day,sedona,hikingtrails
Jeep Tours,If your legs need a break from all the hiking but you havent had your fill of Sedonas stunning landscape yet sign up for a Jeep tour. A popular activity for Sedona visitors these tours are usually led by a guide and vary by theme or activity level. For instance the Ancient Ruin Tour offered by Pink Jeep Tours is popular among history buffs while the Soliders Pass Trail offered by Red Rock Western Jeep Tours is a hit with those looking for an adrenaline rush. If youd prefer to get behind the wheel yourself some companies such as Barlow Adventures allow you to rent Jeeps and explore the surrounding red rocks independently (with some driving tips and trail maps provided before your drive).,Sightseeing,Paid,2 hours to half day,sedona,jeeptours
The Vortexes,Sedonas visitors often hear talk of vortexes – cyclones of energy that come directly from the earth that can be felt by those in their presence. These vortexes are represented by the uniquely shaped rock formations believed to emit energy.,Sightseeing,Free,,sedona,thevortexes
Chapel of the Holy Cross,If you only have time for one cultural site the Chapel of the Holy Cross should be it. This stunning church – designed by sculptor Marguerite Brunswig Staude (a student of architect Frank Lloyd Wright) in the 1950s – protrudes from the red cliffs less than 4 miles south of Sedonas Y intersection. The main stained glass window is held together by a giant cross and overlooks the Verde Valley.,Sightseeing,Free,1 to 2 hours,sedona,chapeloftheholycross
Red Rock State Park,Although Sedona is surrounded by towering red rock formations many recent visitors recommend a trip to the official Red Rock State Park specifically to see Cathedral Rock – one of Arizonas most famous landmarks. This 286-acre nature preserve – located about 10 miles southwest of the Y (the intersection of routes 89A and 179) along Oak Creek – boasts great views of Sedonas more famous formations. Stop in at the visitor center to learn about the areas history guided nature walks and moonlight hikes. The parks Oak Creek offers an opportunity to enjoy a picnic lunch cool down so be sure to pack your swimsuit if you plan on visiting in the summer months.,Parks and Gardens,Free,Half day to full day,sedona,redrockstatepark
Tlaquepaque Arts and Crafts Village,When you need a break from the trails swap out those hiking boots for something more fetching and head to the Tlaquepaque Arts and Crafts Village. Perched at the intersection of routes 89A and 179 this sizable outdoor shopping center was designed in the style of a traditional Mexican village. The stucco walls house a variety of art galleries New Age shops selling modern art and glassware and restaurants while the cobblestone streets and mosaic fountains provide a charming old-fashioned atmosphere.,shopping,Free,2 hours to half day,sedona,tlaquepaqueartsandcraftsvillage
Verde Valley Wine Trail,When it comes to wine country Arizona doesnt usually come to mind. But the Verde Valley near Sedona offers the dry climate and access to water that grapes need to thrive. If youre a lover of vino consider taking a day to follow the Verde Valley Wine Trail; this self-guided tour takes you to four of the areas most popular wineries – Alcantara Vineyards Page Springs Cellars Oak Creek Vineyards and Javelina Leap Vineyard – as well as six tasting rooms. Each of the stops allows you to tour the grounds and sample locally made wine. Recent trail followers praised the vineyards for their beautiful atmosphere and diverse selection. ,Wineries/Breweries,Paid,Half day to full day,sedona,verdevalleywinetrail
Spas,It should come as no surprise that this city of spiritual healing has no shortage of spas. Youll come across your basic massages and salt scrubs but many of Sedonas spas also add some local flair to their treatments. For example the Mii Amo Spa at the Enchantment Resort offers a special clay wrap infused with cocoa powder and Sedona clay along with Native American-inspired therapies. For a New Age experience A Spa For You helps balance your chakra by introducing polarizing gemstones to its deep-tissue massages. Recent Sedona visitors also recommend Inner Journeys Sedonas New Day Spa and Stillpoint… Living in Balance for their soothing atmospheres and variety of treatments. Customers claim to have left feeling nothing short of relaxed and rejuvenated.,Spa,Paid,2 hours to half day,sedona,spas
Palatki Heritage Site,For a glimpse of what life was like in the red rocks between A.D. 1150 and 1350 take a drive to the Palatki Heritage Site. These ancient cliff dwellings were once the home of the Hopi tribe and are now among the largest cave dwellings in the area. The pictographs that cover the walls of the site impress many visitors. Recent travelers also praised the informative and enthusiastic staff.,Parks and Gardens,Paid,2 hours to half day,sedona,palatkiheritagesite
Slide Rock State Park,For those of you visiting Sedona during the hot summer months a few hours at Slide Rock State Park is a must. Housed on land that formerly grew apple trees the park earned its name from the stretch of its slippery creek bed near the original homestead that now acts as a natural waterslide. Visitors can cruise down the creek on a tube or on their own or simply enjoy the sun along the rock bed. Beyond the natural waterslide the park is home to numerous natural swimming pools. The farms old homestead is also open to exploration.,Sightseeing,Paid,Half day to full day,sedona,sliderockstatepark
Waikiki Beach,Nineteenth-century Hawaiian royalty used to come to the Honolulu neighborhood of Waikiki to relax and surf just as scores of tourists do today. Thats because this areas famous beach (which is a string of several beaches dotting the islands southwest coastline) is the go-to spot for its soft honey-colored sand and the high waves that lap the shores during the winter months. But you dont have to be a surfer to appreciate Waikiki Beach; just lie back on a beach towel relax and gaze up at the majestic Diamond Head State Monument in the distance.,beaches,Free,2 hours to half day,honalulu,waikikibeach
World War II Valor in the Pacific National Monument,Located northwest of downtown Honolulu in the Central Oahu region of the island the World War II Valor in the Pacific National Monument is home to the USS Arizona Memorial which is the final resting place of 1177 sailors killed during the Pearl Harbor attack. The sunken battleship is still visible from the memorial floating above it.,Monuments and Memorials,Free,2 hours to half day,honalulu,worldwariivalorinthepacificnationalmonument
Lanikai Beach,Travel about 15 miles northeast of downtown Honolulu to the Windward Coast and youll discover two of the islands most popular beaches – Kailua Beach Park and Lanikai Beach. Of the two Lanikai is more tranquil offering relatively calm waters and a mile of white sands. This family-friendly beach is also within view of the Mokulua Islands a haven for kayaking and surfing.,beaches,Free,2 hours to half day,honalulu,lanikaibeach
Surfing,Its no secret: Oahu is home to some of the worlds best surfing spots. Every winter (when surfing conditions are at their best) professional surfers from across the globe flock to Oahus North Shore to shred some gnarly waves in the Vans Triple Crown of Surfing. Basically the Super Bowl of surfing the Triple Crown takes place in November and December when massive swells roll in from the stormy northern Pacific Ocean.,Recreation,Paid,1 to 2 hours,honalulu,surfing
Diving & Snorkeling,The Hawaiian Islands boast 1200 miles of coral reef so its hardly surprising that two of Oahus most popular activities are snorkeling and scuba diving. Dive into the islands surrounding turquoise water and youll likely find an array of colorful fish (think: bright yellow tang rainbow runners and reef triggerfish) plus bigger marine creatures like dolphins and sea turtles.,Recreation,Paid,1 to 2 hours,honalulu,diving&snorkeling
Kailua Beach Park,If you like to kite surf or windsurf (or watch others participate in the sports) head to Kailua on the Windward Coast and find a perch at Kailua Beach Park. This 3-mile stretch of white shaded sand and warm turquoise-hued water appeals to both families and adrenaline junkies thanks to its gentle waves and ample facilities including picnic tables restrooms and free parking.,Beaches,Free,1 to 2 hours,honalulu,kailuabeachpark
Diamond Head State Monument,Hawaiians call it Leahi geologists call it a tuff cone (consolidated volcanic ash) 19th-century British sailors called it Diamond Head. Whatever you call it this unique crater was created 300000 years ago during a single volcanic eruption that spewed ash into the air. That ash settled over thousands of years and today Diamond Head State Monuments ridgeline is one of the most recognizable features of Oahus skyline not to mention home to one of the islands most scenic hiking trails.,Hiking,Paid,1 to 2 hours,honalulu,diamondheadstatemonument
Koko Crater Trail,Stretched across nearly 2 miles of Koko Crater in the Windward Coast region of Oahu this hiking trail features more than 1000 steps made from abandoned railroad ties. At the trails summit visitors will find panoramic vistas of Hanauma Bay Nature Preserve and Diamond Head State Monument.,Hiking,Free,1 to 2 hours,honalulu,kokocratertrail
Battleship Missouri Memorial,Launched in 1944 the USS Missouri (or Mighty Mo) is best known for hosting a meeting between Allied and Axis representatives that led to Japans surrender and the end of World War II. After the war the ship served in the Korean War and Operation Desert Storm before docking in Pearl Harbor and opening as a memorial. It holds the distinction of being the worlds last active service battleship.,Monuments and Memorials,Paid,1 to 2 hours,honalulu,battleshipmissourimemorial
National Memorial Cemetery of the Pacific,In ancient Hawaiian times the Punchbowl Crater was used for human sacrifices. Now its the final resting place for men and women who served in the U.S. military. The National Memorial Cemetery of the Pacific stretches across much of the crater and contains several moving tributes including the Honolulu Memorial which is dedicated to armed forces who fought in the Pacific during World War II the Korean War and the Vietnam War. Notable veterans buried here include Ernie Pyle (the famous World War II correspondent) and Stanley Dunham (the maternal grandfather of former President Barack Obama).,Monuments and Memorials,Paid,1 to 2 hours,honalulu,nationalmemorialcemeteryofthepacific
International Rose Test Garden,Not until you visit these sprawling gardens will you fully understand the reasoning behind one of Portlands nicknames the City of Roses. Established in 1917 by the American Rose Society it began as a sanctuary for European grown hybrid roses during World War I and is now the oldest official continuously operated public rose test garden in the United States.,Parks and Gardens,Free,1 to 2 hours,portland,internationalrosetestgarden
Portland Japanese Garden,The 12-acre Portland Japanese Garden is made up of eight separate gardens that represent different styles of traditional Japanese gardening techniques. All of the gardens feature essential elements like stone water and plants that come from influences of the Shinto Buddhist and Taoist philosophies creating a unique serene environment where visitors feel they are becoming a part of nature. The garden also features the Kashintei Tea House where visitors can take part in a traditional tea ceremony. If youre visiting in late March dont miss the chance to see the cherry blossoms in full bloom.,Parks and Gardens,Free,1 to 2 hours,portland,portlandjapanesegarden
Lan Su Chinese Garden,Occupying an entire city block the Lan Su Chinese Garden is among some of the only authentic Chinese gardens in the country. Modeled after Chinas Ming dynasty gardens the Lan Su Chinese Garden aims at being a place where people can escape the hustle of everyday life and connect with nature. In addition to featuring plants and trees native to China as well as an 8000 square feet lake the garden also hosts a variety of Chinese cultural events ranging from tai chi to tea tastings.,Parks and Gardens,Free,1 to 2 hours,portland,lansuchinesegarden
Powell's City of Books,While you wander through the stacks keep in mind that you are tracing the footsteps of great writers many of which have scrawled their signatures on one of the buildings pillars. You might also schedule your visit to coincide with a reading as the book shop hosts events nearly every day totaling more than 500 author visits a year.,shopping,Free,1 to 2 hours,portland,powellscityofbooks
Oregon Museum of Science and Industry,Whether you need to keep the kids entertained for a few hours or just need a way to spend a rainy day the Oregon Museum of Science and Industry is the place to go. This interactive museum (referred to by residents as the OMSI) makes learning fun with five halls and eight labs filled with hands-on exhibits devoted to physics chemistry paleontology and more. Other interactive offerings include a science playground specifically designed for young children. Recent visitors said that the museum is fun and educational for all members of the family though some do gripe about the price of admission. If youve got kids in tow past visitors said youll want to spend several hours here.,Museum,Paid,1 to 2 hours,portland,oregonmuseumofscienceandindustry
Portland Art Museum,As the oldest art museum in the Pacific Northwest the Portland Art Museum set the bar high for its followers. It is home to Oregons most prestigious collection including works from the European masters Japanese screen prints and contemporary American pieces. There is also a sculpture garden and an area devoted to photography. But the museums Native American gallery – which houses more than 5000 ancient and modern objects from more than 200 different tribes – is not to be missed.,Museum,Paid,1 to 2 hours,portland,portlandartmuseum
Pittock Mansion,The 16000-square-foot Pittock Mansion is one of Portlands few historic attractions and definitely one of the most unique. Commissioned in 1912 by Henry Pittock – the owner of The Oregonian newspaper – and designed after the French Renaissance style this 23-room mansion contains a Turkish smoking room a library a music room and two sleeping porches among other features.,Museum,Paid,1 to 2 hours,portland,pittockmansion
Tom McCall Waterfront Park,Named for a former Oregonian governor this 30-acre park stretches alongside the Willamette River in downtown Portland and provides some of the best views of the citys skyline. Because of its prime location it hosts many of Portlands special events – including the ever-popular Oregon Brewers Festival and the Portland Rose Festival.,Parks and Gardens,Free,1 to 2 hours,portland,tommccallwaterfrontpark
Broadway,While many people come to Nashville to soak up the history of country music at the citys museums others prefer enjoying the tunes in person. The best way to do that is to stop in to the many bars that line Broadway downtown Nashvilles main thoroughfare. Lower Broadway is nicknamed Honky Tonk Highway because of the numerous establishments that host live acts daily. Whats more theres no cover charge so you can bar hop as you please.,Entertainment,Paid,2 hours to half day,nashville,broadway
Grand Ole Opry,It was this radio show which began broadcasting in the 1920s that put Nashville on the map as the Country Music Capital of the World. Although its venue has changed over the years the Grand Ole Opry continues to host top country performers like Brad Paisley Carrie Underwood and Keith Urban. And a trip to Nashville isnt complete without stopping by the Grand Ole Opry House for a tour to look back through the ages. Get a behind-the-scenes look one of three ways: with a daytime backstage tour a post-show tour or a VIP tour. During a daytime tour your guide will share stories of music legends who have walked the venues hallowed halls show you photos from the Oprys venerated history and possibly bring you on to the iconic stage. Recent visitors were very pleased with the tours noting the guides were energetic and offered many fun facts about the institution,Entertainment,Paid,2 hours to half day,nashville,grandoleopry
Belle Meade Plantation,Constructed in 1853 in a breathtaking Greek Revival style the Belle Meade Plantation is known as the Queen of the Tennessee Plantations. At the center of the plantation is the mansion (its columns are peppered with bullet holes from the Civil War) where guides dressed in period costumes offer tours of the mansions antebellum-style interior. Youre invited to explore the grounds which are home to the countrys first and best thoroughbred breeding farms (the visitor center is modeled after a traditional Southern paddock) as well as the renowned Iroquois Steeplechase the oldest in the United States. During the summer and fall the Belle Meade Plantation hosts numerous events including Easter egg hunts and antique auctions.,Sightseeing,Paid,2 hours to half day,nashville,bellemeadeplantation
The Johnny Cash Museum,Uncover the enigma behind The Man in Black with a visit to The Johnny Cash Museum. The museum which opened in April 2013 boasts the worlds largest collection of Johnny Cash artifacts and memorabilia including films handwritten notes and letters penned by Cash himself along with more than 25 costumes made famous during the music legends career. Exhibits spotlight different periods in Cashs life including his years in the Air Force his marriage to June Carter and his famous prison concert tour. And because the museum is officially endorsed by the Cash family you can bet youll stumble across other personal mementos not available to the public anywhere else like a stone wall excavated from Johnny and Junes Hendersonville Lake House thats been repurposed into one of the exhibits. Johnny Cash fans loved the wealth of information on display at this museum.,Museum,Paid,2 hours to half day,nashville,thejohnnycashmuseum
Ryman Auditorium,Theres no better place to start absorbing Nashvilles musical heritage than the Ryman Auditorium. Its no longer home to the Grand Ole Opry but the auditorium continues to host contemporary acts like Trace Adkins Blake Shelton and Luke Combs. Recent visitors suggest opting for a tour to get a behind-the-scenes glimpse of the legendary music venue. Sit in on the Soul of Nashville screening for a multidimensional experience that uses archival images and footage of performers from the Rymans past to illustrate its role in music history. Plus you can learn about the auditoriums backstory with its Workin on a Building exhibit which displays artifacts from the Rymans construction. Whats more you can test out your own pipes at the Rymans recording studio and record a CD to take home as a souvenir,Entertainment,Paid,1 to 2 hours,nashville,rymanauditorium
Country Music Hall of Fame and Museum,Music and history lovers can mix and mingle over the exhibits found at the Country Music Hall of Fame and Museum. Peruse the plaques dedicated to country musics finest – from Patsy Cline to Johnny Cash – and walk among artifacts like Jimmie Rodgers guitar and Elvis Presleys solid gold Cadillac limo. If you have time stop to browse the two-story wall plastered with every gold and platinum country record produced and then head to Studio B. One of the worlds most influential recording studios and a Music Row Landmark Studio B produced more than 35000 songs by legends like Dolly Parton Waylon Jennings and Roy Orbison. For an interactive history lesson on the roots and evolution of country music take a self-guided walk through the Sing Me Back Home: A Journey Through Country Music exhibit which spans two floors of the museum.,Museum,Paid,1 to 2 hours,nashville,countrymusichalloffameandmuseum
Shelby Bottoms Nature Center & Greenway,Located on an expansive stretch of the Cumberland River about 5 miles east of downtown Nashville the Shelby Bottoms Nature Center & Greenway is a sprawling green space where visitors can learn about the local landscape and take advantage of outdoor recreation opportunities. When you visit start at the nature center where you can view cultural history exhibits and artwork. You can also rent a bicycle to explore or participate in an environmental education program and learn about things to do in the greenway. When youre ready to get outside the 950-acre Shelby Bottoms Greenway has more than 10 miles of paved and unpaved pathways (perfect for strolling and biking) that pass through wetlands streams forests and fields. Recent visitors said the atmosphere is relaxing and quiet and the trail system is easy-to-follow and clean.,Hiking,Free,1 to 2 hours,nashville,shelbybottomsnaturecenter&greenway
Tennessee State Museum,Located in downtown Nashville next to the Bicentennial Capitol Mall State Park the Tennessee State Museum preserves the unique and storied history of the Volunteer State. The large museum showcases permanent exhibits that display the heritage of Tennessees natural history; Native American history; military and sporting history; and Civil War history. Plus there are rotating temporary cultural and art exhibits on display as well. A number of attractions at this museum specifically cater to children and the museum hosts many events and educational programs on-site throughout the year. Recent visitors said the attraction is beautiful and informative with many recent reviewers saying they appreciated the free admission.,Museum,Free,Less than 1 hour,nashville,tennesseestatemuseum
Cheekwood Estate & Gardens,Art aficionados and nature lovers alike should plan on making a stop at the Cheekwood Estate & Gardens. With its greenhouses sculpture trail and chromatic flower display the 55-acre Botanical Garden offers sanctuary from downtowns bustle. The on-site art museum is just as beautiful: Housed in the original Georgian-style Cheek family mansion at the heart of the grounds the museum boasts an impressive collection of 19th- and 20th-century American art as well as antique furniture temporary exhibitions and artifacts from around the world.,Parks and Gardens,Free,1 to 2 hours,nashville,cheekwoodestate&gardens
Tootsie's Orchid Lounge,After a day exploring the roots of the Country Music Capital of the World why not experience the sounds of Music City first-hand? If youre looking for an authentic atmosphere with top-notch performances Tootsies World Famous Orchid Lounge is the place to go. Since the days when the Grand Ole Opry still sought refuge at the Ryman Auditorium this downtown bar has been featuring performances by both world-renowned and up-and-coming artists.,Entertainment,Free,1 to 2 hours,nashville,tootsiesorchidlounge
State Capitol,Standing stoically in the heart of central Austin is Texass legislative center the State Capitol. Opened in 1888 this pink-granite landmark stands 14 feet taller than the U.S. Capitol in Washington D.C. Much of the capitol including the 218-foot rotunda the chamber of the Hall of Representatives and the governors receiving room still look the same as they did when the capitol opened,Sightseeing,Free,1 to 2 hours,austin,statecapitol
Mount Bonnell,For great views head to Mount Bonnell at Covert Park which provides sweeping views of the city Lake Austin and the surrounding hills. The 5.1-acre historic linear park is home to a 775-foot-high outcrop considered the highest spot in the area. Mount Bonnell is designated a Texas Historic Landmark and is also listed in the National Register of Historic Places. The point is located alongside the Lake Austin portion of the Colorado River and has proven to be an enduring tourist destination since the 1850s,Hiking,Free,2 hours to half day,austin,mountbonnell
Zilker Metropolitan Park,Sitting across the river from downtown Austin this beloved 351-acre park buoys Austins reputation as one of the Best Places to Live. Zilker Metropolitan Park shelters some of the citys most popular attractions – from art museums to swimming holes – as well as several athletic fields and plenty of open space for strolling. Whether you choose to swim canoe or dig for fossils at the Austin Nature and Science Centers Dino Pit youll find a range of options – a particular point of praise for recent visitors. ,Parks and Gardens,Free,2 hours to half day,austin,zilkermetropolitanpark
Blanton Museum of Art,Sheltered on the University of Texas at Austin campus the Blanton Museum of Art is a must-see for any art enthusiast. Considered as one of the largest university art museums in the country and home to more than 18000 works of art – ranging from Renaissance and baroque pieces by renowned artists such as Rubens and Poussin to a sizeable collection of contemporary Latin American art.,Museum,Paid,2 hours to half day,austin,blantonmuseumofart
Ann and Roy Butler Hike-and-Bike Trail at Lady Bird Lake,A cherished outdoor space in the city the 10-mile Ann and Roy Butler Hike-and-Bike Trail which encompasses the entire lake serves as a popular place for runners walkers and cyclists for both locals and visitors. Outdoor enthusiasts rave about the peace and quiet beauty the trail affords,Parks and Gardens,Free,2 hours to half day,austin,annandroybutlerhike-and-biketrailatladybirdlake
Sixth Street,A trip to the Live Music Capital of the World wouldnt be complete without discovering some of Austins up-and-coming talent along Sixth Street. After drastic restoration took place in an effort by the National Register of Historic Places to save the area from its grungy reputation this area became the hub of Austins music scene in the 1970s.,Entertainment,Free,1 to 2 hours,austin,sixthstreet
Barton Springs Pool,Nestled in Zilker Park Barton Springs Pool is a favorite locale among visitors and residents alike. Native American settlers once believed the springs possessed spiritual healing powers and professional travel writers still refer to Barton Springs as the soul of Austin and many visitors say its an ideal spot to cool off in the summer.,Swimming/Pools,Paid,1 to 2 hours,austin,bartonspringspool
LBJ Presidential Library,While the thought of visiting a presidential library may sound like a bore this one is an exception. Dedicated to the 36th president of the United States Lyndon B. Johnsons library houses all the expected artifacts – including presidential papers – as well as several quirkier exhibits that are just as interesting as the president himself. From presidential holiday cards to photographs chronicling the civil rights era and an LBJ robot this museum uses all types of mediums to narrate the presidents life and political career.,Museum,Paid,1 to 2 hours,austin,lbjpresidentiallibrary
Bullock Texas State History Museum,Named for Texass 38th lieutenant governor the Bullock Texas State History Museum explores the Lone Star States vibrant past with artifacts ranging from the original Goddess of Liberty statue that resided at the top of the State Capitols dome to astronaut Edgar Mitchells space suit used in the Apollo 14 mission to the moon. Along with galleries featuring more than 500 artifacts the museum features rotating special exhibits to reflect the diverse history of the state. The museum is also home to the largest IMAX screen in Texas as well as the 4-D Texas Spirit Theater with special documentary short films a cafe with an outdoor patio and large museum store to take a piece of Texas history home with you. ,Museum,Paid,2 hours to half day,austin,bullocktexasstatehistorymuseum
Austin Bats,According to experts Austin is home to the largest urban bat colony in North America. Approximately 1.5 million bats have made the Congress Avenue Bridge their home. The bats settled here after a renovation of the bridge in 1980 created crevices that were perfect for bats to take refuge in against predators. Every spring the Mexican free-tailed bats migrate north to the bridge to give birth and raise their offspring. Come summertime the bats can be seen each evening at dusk as they emerge for their nightly excursions to rid the city of pesky insects before heading back to central Mexico in the fall. ,Natural Wonders,Free,1 to 2 hours,austin,austinbats
Tony Knowles Coastal Trail,For a family-friendly outdoor excursion grab your camera and hit the Tony Knowles Coastal Trail named for the for former Alaska governor Tony Knowles. Winding its way from the downtown area past the Alaska Aviation Heritage Museum to Kincaid Park this 11-mile paved path is perfect for biking rollerblading cross-country skiing and strolling. If youre visiting during the summer keep your eyes peeled over Cook Inlet for beluga whales while winter trailblazers should look out for moose in Kincaid Park,Parks and Gardens,Free,2 hours to half day,anchorage,tonyknowlescoastaltrail
Anchorage Museum,For a thorough introduction to everything Alaska head to the Anchorage Museum. The states largest museum houses exhibitions that detail everything from local wildlife to native cultures to Alaskan history and art. Youll also come across touring exhibits that highlight important aspects of the states past and present. Even if you arent new to the Last Frontier recent visitors said that this museum is well worth the trip and mention the interactive kids section and the informative exhibits as true highlights.,Museum,Paid,1 to 2 hours,anchorage,anchoragemuseum
Alaska Center for the Performing Arts,A staple in the Anchorage arts scene since 1998 the Alaska Center for the Performing Arts (or Center of the PAC as it is locally known) is the place to go in Anchorage when you want to catch a play show musical or concert. Conveniently located downtown and with three theaters that vary in size the center draws everyone from local favorites to Broadway shows like Peter Pan and Grammy Award winners like Béla Fleck and David Sanborn.,Entertainment,Free,1 to 2 hours,anchorage,alaskacenterfortheperformingarts
Alaska Native Heritage Center,What makes Alaska truly unique are the cultures that thrive there. For example you can learn all about the Last Frontiers indigenous people at the Alaska Native Heritage Center which is devoted to preserving customs that have been around much longer than the cities that now call Alaska home. There are three main parts: A gallery that displays native artifacts a performance hall where members of native communities tell stories dance and show off their athletic abilities and a grouping of seven traditional dwellings that represent the lifestyles of some of the tribes.,Museum,Free,2 hours to half day,anchorage,alaskanativeheritagecenter
Anchorage Market & Festival,A local favorite since it first opened in 1992 the Anchorage Market and Festival started out as a Saturday-only market with just two dozen vendors but it quickly grew to host more than 300 vendors and now also operates on Sundays. Situated on 7 acres in downtown Anchorage the market is the place to shop for clothes food crafts and more while enjoying live entertainment and snacking on locally grown eats. Theres also a kids market suitable for ages 8 to 16 that sells goods crafted by other youngsters,shopping,Free,2 hours to half day,anchorage,anchoragemarket&festival
Potter Marsh,At the southern end of the Anchorage Coastal Wildlife Refuge is Potter Marsh a wooden boardwalk that winds through a half-mile of marshlands. This is a popular destination for birders as Canada geese northern pintails canvasback ducks red-necked phalaropes horned and red-necked grebes and northern harriers come to this wetland from April to September. Summertime visitors can also glimpse gulls Arctic terns shorebirds and trumpeter swans. Keep an eye out for eagles and their nests usually located in the cottonwoods near the base of the bluff.,Parks and Gardens,Free,1 to 2 hours,anchorage,pottermarsh
Kincaid Park,Kincaid Park is the ideal place for when you need an escape from city life without having to actually leave Anchorage. Overlooking Cook Inlet from the citys southwest corner this 1400-acre park is home to dozens of hiking biking and cross-country ski trails gardens and even some of Alaskas favorite furry friends like moose fox and porcupines. With so much to offer this park is a perfect urban escape for both a wilderness adventure and a leisurely day outdoors. Recent visitors said the trails are kept in top shape making it easy to spend the day wandering as you please.,Parks and Gardens,Free,Half day to full day,anchorage,kincaidpark
Oscar Anderson House Museum,When it was first founded the city of Anchorage was just a jumble of tents. That is until Oscar Anderson came along. The city butcher built the first permanent home in 1915 and although its not in its original location this house offers an interesting glimpse of life in young Anchorage. Guided tours offer insight into how Anderson (a Swedish immigrant) and his family lived while original artifacts give this historic building a genuine lived-in feel. Recent visitors praised the guided tours which they said make them feel like theyve stepped back in time.,"Historic Homes/Mansions, Museums ",Paid,Less than 1 hour,anchorage,oscarandersonhousemuseum
Chugach State Park,Located about 13 miles south of downtown this sprawling state park is one of the largest in the country clocking in at nearly half a million acres of hiking trails ski areas rock-climbing spots and wildlife habitat. Chugach is the perfect place to experience untouched Alaska without a long drive. And according to recent visitors the breathtaking scenery is worth the 20-minute drive especially because the park offers numerous trails of varying lengths including some that are ideal for day hikes. Other visitors recommend booking a guided tour to get the history of the park too.,Hiking,Free,More than Full Day,anchorage,chugachstatepark
Alaska Aviation Museum,Aviation has played a major role in Alaskas development – before there was a significant network of paved roads or railways there were landing strips – and at the Alaska Aviation Heritage Museum you can learn how airplanes helped the Last Frontier take flight. Exhibits focus on the careers of bush pilots who mastered flying over the states rough terrain plus the history of Alaskan aviation. While touring check out the historic aircraft housed in the storage hanger. Recent visitors recommend taking your time to explore and see all of the planes and not to miss the last hanger where you can watch volunteers rebuilding vintage bush planes.,Museum,Free,2 hours to half day,anchorage,alaskaaviationmuseum
Golden Gate Bridge,The Golden Gate Bridges vaulting orange arches amidst the rocky seascape of the San Francisco Bay have made it one of the West Coasts most enduring symbols and the citys most popular tourist attraction. The bridges name Golden Gate actually refers to the body of water it spans (the Golden Gate Strait that connects the Pacific Ocean with the San Francisco Bay) and was built to make travel between San Francisco and Marin County an easier feat,Sightseeing,Free,1 to 2 hours,sanfransisco,goldengatebridge
